#SampleID	study_id	host_scientific_name	latitude_deg	longitude_deg	envo_biome_3	empo_3	temperature_deg_c	ph	salinity_psu	oxygen_mg_per_l	nitrate_umol_per_l
550.L1S1.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S10.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S100.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S101.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S102.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S103.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S104.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S105.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S106.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S107.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S108.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S109.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S11.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S110.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S111.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S112.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S113.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S114.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S115.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S116.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S117.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S118.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S119.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S12.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S120.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S121.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S122.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S123.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
550.L1S124.s.1.sequence	550	Homo sapiens	1.0	0.0	dense settlement biome	Animal distal gut	nan	nan	nan	nan	nan
